,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Afghanistan,AFG,537.8,548.9,546.7,751.1,800.0,1006.7,1400.0,1673.3,1373.3,1408.9,1748.9,1831.1,1595.6,1733.3,2155.6,2366.7,2555.6,2953.3,3300.0,3697.9,3641.7,3478.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461.7,4128.8,4583.6,5285.5,6275.1,7057.6,9843.8,10190.5,12486.9,15936.8,17930.2,20536.5,20046.3,20050.2,19215.6,19469.0
1,Albania,ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.2,1965.4,2173.8,2156.6,2126.0,2335.1,2101.6,1139.2,709.5,1228.1,1985.7,2424.5,3314.9,2359.9,2707.1,3414.8,3632.0,4060.8,4435.1,5746.9,7314.9,8158.5,8992.6,10701.0,12881.4,12044.2,11927.0,12890.9,12319.8,12776.3,13228.2,11335.3,11863.9
2,Algeria,DZA,2723.6,2434.8,2001.5,2703.0,2909.4,3136.3,3039.8,3370.8,3852.1,4257.2,4863.5,5077.2,6761.8,8715.1,13209.7,15557.9,17728.3,20971.9,26364.5,33243.4,42345.3,44348.7,45207.1,48801.4,53698.3,57937.9,63696.3,66742.3,59089.1,55631.5,62045.1,45715.4,48003.3,49946.5,42542.6,41764.1,46941.5,48177.9,48187.7,48640.6,54790.2,54744.7,56760.3,67863.8,85325.0,103198.0,117027.0,134977.0,171001.0,137211.0,161207.0,200019.0,209059.0,209755.0,213810.0,165874.0,159049.0
3,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,527.0,512.0,503.0,496.0,520.0,563.0,678.0,576.0,574.0,644.0,641.0,643.0,659.0,658.0
4,Andorra,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6,89.4,113.4,150.8,186.6,220.1,227.3,254.0,308.0,411.6,446.4,389.0,375.9,327.9,330.1,346.7,482.0,611.3,721.4,795.4,1029.0,1106.9,1210.0,1007.0,1017.5,1178.7,1223.9,1180.6,1211.9,1239.9,1434.4,1496.9,1733.1,2398.6,2935.7,3255.8,3543.3,4017.0,4007.4,3660.5,3355.7,3442.1,3164.6,3281.6,3350.7,2811.5,2858.5
5,Angola,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6684.5,6684.5,6684.5,6684.5,10026.7,10026.7,12118.6,5684.3,5278.2,4059.4,5039.6,7526.4,7648.4,6445.0,6152.9,9129.6,8936.1,12497.3,14188.9,19640.8,28233.7,41789.5,60448.9,84178.0,75492.4,82470.9,104116.0,115398.0,124912.0,126777.0,102962.0,95335.1
6,Antigua,ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,87.9,109.1,131.4,147.8,164.4,182.1,208.4,240.9,290.4,337.2,398.6,438.8,459.5,481.7,499.3,535.2,589.4,577.3,633.7,680.6,727.9,766.2,830.2,800.7,814.6,855.6,919.6,1022.2,1157.0,1311.4,1368.4,1224.3,1152.5,1142.0,1211.4,1192.9,1280.1,1364.9,1460.1
7,Argentina,ARG,0.0,0.0,24450.6,18272.1,25605.2,28344.7,28630.5,24256.7,26436.9,31256.3,31584.2,33293.2,34733.0,52544.0,72436.8,52438.6,51169.5,56781.0,58082.9,69252.3,76961.9,78676.8,84307.5,103979.0,79092.0,88416.7,110934.0,111106.0,126207.0,76636.9,141352.0,189720.0,228789.0,236742.0,257440.0,258032.0,272150.0,292859.0,298948.0,283523.0,284204.0,268697.0,97724.0,127587.0,164658.0,198737.0,232557.0,287531.0,361558.0,332976.0,423627.0,530163.0,545982.0,552025.0,526320.0,584711.0,545476.0
8,Armenia,ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256.8,2068.5,1272.6,1201.3,1315.2,1468.3,1597.0,1639.5,1893.7,1845.5,1911.6,2118.5,2376.3,2807.1,3576.6,4900.5,6384.5,9206.3,11662.0,8647.9,9260.3,10142.1,10619.3,11121.5,11609.5,10553.3,10572.3
9,Aruba,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.2,1320.7,1379.9,1531.8,1665.4,1722.8,1873.5,1920.3,1941.1,2021.3,2228.3,2331.0,2421.5,2623.7,2792.0,2498.9,2467.7,2584.5,0.0,0.0,0.0,0.0,0.0
